spec	kind	obligation	verified_section	design_note	owner
MC_AppleContainerLaunch	invariant	AdmissionBeforeLaunch	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	AgentHomeNeverMountedWholesale	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	CoveredReadDirsOmitted	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	CredentialArtifactSessionScoped	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	CredentialMaterializationGated	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	CredentialPathsNeverMounted	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	ForeignContainersUntouched	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	IntegrationEnvRejected	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	InvokerHomeNeverMounted	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	NoUnexpectedLaunchEnv	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	PlannedReadDirsMountedRO	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	ProjectMountedRW	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	SSHForwardingRejected	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	SocketPublishingRejected	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	TerminalContainerHandled	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	TerminalCredResidueHandled	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	TypeOK	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_AppleContainerLaunch	invariant	UnsupportedNetworkFailsClosed	16	tla/16_apple_container_launch_containment.md	apple container launch boundary
MC_BackupSafety	invariant	CloudRequiresConfig	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	CloudTargetsProject	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	NoOverwriteWithoutAttempt	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	PreRestoreSnapshotMatchesTarget	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	RepoBeforeSnapshot	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	RestoreReversible	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	invariant	TypeOK	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	property	RestoreEventuallyCompletes	3	tla/03_backup_restore_safety.md	backup restore lifecycle
MC_BackupSafety	property	SessionEventuallyLaunches	3	tla/03_backup_restore_safety.md	backup restore lifecycle
